Grid,Stimuli,Grouping,Replicate,WBSC,SUFW,NHHE,REWA,EASP,BRTH,CRRO,PICU
1,CRRO,Con,1,0,NA,0,NA,0,0,0,NA
1,NNHEx2,Con,1,1,0,1,0,0,0,1,0
1,REWAx2,Con,1,0,NA,0,1,0,NA,0,NA
1,SUFWx2,Con,1,NA,1,0,NA,NA,1,0,NA
1,WBSCx2,Con,1,1,0,1,1,NA,NA,NA,NA
1,NHHExREWA,Het,1,NA,0,1,0,NA,NA,NA,NA
1,NHHExSUFW,Het,1,0,0,1,NA,1,NA,1,NA
1,NHHExWBSC,Het,1,0,0,0,NA,1,0,0,NA
1,REWAxSUFW,Het,1,NA,NA,1,1,0,NA,0,NA
1,REWAxWBSC,Het,1,0,NA,1,1,0,0,NA,NA
1,SUFWxWBSC,Het,1,NA,0,1,NA,1,NA,NA,NA
1,CRRO,Con,2,NA,NA,1,0,0,NA,1,1
1,NNHEx2,Con,2,NA,NA,1,0,1,NA,0,0
1,REWAx2,Con,2,0,NA,0,1,0,NA,0,NA
1,SUFWx2,Con,2,NA,NA,1,0,1,NA,NA,0
1,WBSCx2,Con,2,0,NA,1,0,1,NA,0,0
1,NHHExREWA,Het,2,0,NA,1,1,1,NA,0,0
1,NHHExSUFW,Het,2,0,1,0,0,0,1,0,0
1,NHHExWBSC,Het,2,0,NA,1,1,1,NA,1,0
1,REWAxSUFW,Het,2,0,NA,0,1,1,NA,1,0
1,REWAxWBSC,Het,2,0,NA,1,0,1,NA,0,0
1,SUFWxWBSC,Het,2,NA,NA,1,0,1,NA,0,0
2,CRRO,Con,1,0,NA,0,NA,0,NA,1,0
2,NNHEx2,Con,1,NA,0,1,NA,0,NA,NA,NA
2,REWAx2,Con,1,NA,NA,NA,NA,0,NA,0,NA
2,SUFWx2,Con,1,0,0,NA,NA,0,NA,NA,NA
2,WBSCx2,Con,1,1,NA,NA,0,NA,NA,0,0
2,NHHExREWA,Het,1,NA,1,0,NA,NA,0,NA,1
2,NHHExSUFW,Het,1,NA,NA,1,NA,NA,NA,NA,NA
2,NHHExWBSC,Het,1,0,NA,0,NA,0,0,0,NA
2,REWAxSUFW,Het,1,0,NA,NA,0,NA,0,0,NA
2,REWAxWBSC,Het,1,1,0,NA,1,1,NA,NA,NA
2,SUFWxWBSC,Het,1,0,0,0,0,NA,0,0,NA
2,CRRO,Con,2,0,NA,NA,0,0,NA,1,0
2,NNHEx2,Con,2,0,NA,NA,NA,NA,NA,1,NA
2,REWAx2,Con,2,0,0,NA,0,NA,NA,1,1
2,SUFWx2,Con,2,0,NA,NA,0,NA,NA,NA,0
2,WBSCx2,Con,2,1,0,1,1,0,1,0,NA
2,NHHExREWA,Het,2,0,NA,NA,0,0,NA,0,0
2,NHHExSUFW,Het,2,1,NA,NA,0,1,NA,0,0
2,NHHExWBSC,Het,2,1,NA,0,0,0,NA,0,0
2,REWAxSUFW,Het,2,0,NA,NA,0,0,NA,0,0
2,REWAxWBSC,Het,2,1,NA,0,0,0,0,0,0
2,SUFWxWBSC,Het,2,1,NA,NA,0,0,NA,NA,0
3,CRRO,Con,1,0,0,0,0,0,NA,1,0
3,NNHEx2,Con,1,1,0,1,0,1,1,0,0
3,REWAx2,Con,1,0,NA,NA,0,1,1,0,0
3,SUFWx2,Con,1,NA,1,NA,0,1,NA,NA,0
3,WBSCx2,Con,1,1,0,NA,0,1,NA,0,0
3,NHHExREWA,Het,1,NA,NA,0,1,0,NA,0,0
3,NHHExSUFW,Het,1,1,0,1,0,0,NA,0,1
3,NHHExWBSC,Het,1,1,NA,1,0,1,NA,NA,1
3,REWAxSUFW,Het,1,1,1,NA,0,1,NA,0,1
3,REWAxWBSC,Het,1,0,1,NA,0,0,NA,1,1
3,SUFWxWBSC,Het,1,0,1,NA,0,1,1,NA,NA
3,CRRO,Con,2,0,NA,NA,0,1,NA,0,0
3,NNHEx2,Con,2,0,1,NA,0,1,NA,0,0
3,REWAx2,Con,2,0,0,0,0,1,NA,0,1
3,SUFWx2,Con,2,1,0,NA,0,1,1,0,NA
3,WBSCx2,Con,2,0,0,NA,0,0,NA,0,1
3,NHHExREWA,Het,2,0,0,1,NA,0,NA,NA,0
3,NHHExSUFW,Het,2,NA,1,NA,0,NA,NA,0,0
3,NHHExWBSC,Het,2,0,0,NA,0,0,NA,1,1
3,REWAxSUFW,Het,2,NA,0,NA,0,1,NA,NA,0
3,REWAxWBSC,Het,2,0,0,NA,0,1,NA,NA,1
3,SUFWxWBSC,Het,2,NA,0,NA,0,0,NA,0,0
