Exp_number,Grid,Stimuli_1,Stimuli_2,Exemplar,Species,Present,Approach,Playback,Post
6,1,CRRO,NA,1,WBSC,1,0,0,0
6,1,CRRO,NA,1,SUFW,0,0,0,0
6,1,CRRO,NA,1,NHHE,1,0,0,1
6,1,CRRO,NA,1,REWA,0,0,0,0
6,1,CRRO,NA,1,EASP,1,0,0,0
6,1,CRRO,NA,1,BRTH,1,0,0,0
6,1,CRRO,NA,1,CRRO,1,0,0,0
6,1,CRRO,NA,1,PICU,0,0,0,0
10,1,NHHE,NHHE,1,WBSC,1,1,1,0
10,1,NHHE,NHHE,1,SUFW,1,0,0,0
10,1,NHHE,NHHE,1,NHHE,1,1,1,1
10,1,NHHE,NHHE,1,REWA,1,0,0,0
10,1,NHHE,NHHE,1,EASP,1,0,0,0
10,1,NHHE,NHHE,1,BRTH,0,0,0,0
10,1,NHHE,NHHE,1,CRRO,1,0,0,0
10,1,NHHE,NHHE,1,PICU,0,0,0,0
9,1,REWA,REWA,1,WBSC,1,0,0,0
9,1,REWA,REWA,1,SUFW,0,0,0,0
9,1,REWA,REWA,1,NHHE,1,0,0,0
9,1,REWA,REWA,1,REWA,1,1,1,1
9,1,REWA,REWA,1,EASP,1,0,0,0
9,1,REWA,REWA,1,BRTH,0,0,0,0
9,1,REWA,REWA,1,CRRO,1,0,0,0
9,1,REWA,REWA,1,PICU,0,0,0,0
2,1,SUFW,SUFW,1,WBSC,0,0,0,0
2,1,SUFW,SUFW,1,SUFW,1,1,0,0
2,1,SUFW,SUFW,1,NHHE,1,0,0,0
2,1,SUFW,SUFW,1,REWA,0,0,0,0
2,1,SUFW,SUFW,1,EASP,0,0,0,0
2,1,SUFW,SUFW,1,BRTH,1,1,0,0
2,1,SUFW,SUFW,1,CRRO,1,0,0,0
2,1,SUFW,SUFW,1,PICU,0,0,0,0
1,1,WBSC,WBSC,1,WBSC,1,1,1,0
1,1,WBSC,WBSC,1,SUFW,1,0,0,1
1,1,WBSC,WBSC,1,NHHE,1,1,1,0
1,1,WBSC,WBSC,1,REWA,1,1,0,0
1,1,WBSC,WBSC,1,EASP,0,0,0,0
1,1,WBSC,WBSC,1,BRTH,0,0,0,0
1,1,WBSC,WBSC,1,CRRO,0,0,0,0
1,1,WBSC,WBSC,1,PICU,0,0,0,0
3,1,NHHE,REWA,1,WBSC,0,0,0,0
3,1,NHHE,REWA,1,SUFW,1,0,1,0
3,1,NHHE,REWA,1,NHHE,1,1,1,0
3,1,NHHE,REWA,1,REWA,1,0,0,1
3,1,NHHE,REWA,1,EASP,0,0,0,0
