Grid,Stimuli,Grouping,Replicate,REWA
1,NNHEx2,Het,1,0
1,REWAx2,Con,1,1
1,WBSCx2,Het,1,1
1,NHHExREWA,Con,1,0
1,REWAxSUFW,Con,1,1
1,REWAxWBSC,Con,1,1
1,CRRO,Het,2,0
1,NNHEx2,Het,2,0
1,REWAx2,Con,2,1
1,SUFWx2,Het,2,0
1,WBSCx2,Het,2,0
1,NHHExREWA,Con,2,1
1,NHHExSUFW,Het,2,0
1,NHHExWBSC,Het,2,1
1,REWAxSUFW,Con,2,1
1,REWAxWBSC,Con,2,0
1,SUFWxWBSC,Het,2,0
2,WBSCx2,Het,1,0
2,REWAxSUFW,Con,1,0
2,REWAxWBSC,Con,1,1
2,SUFWxWBSC,Het,1,0
2,CRRO,Het,2,0
2,REWAx2,Con,2,0
2,SUFWx2,Het,2,0
2,WBSCx2,Het,2,1
2,NHHExREWA,Con,2,0
2,NHHExSUFW,Het,2,0
2,NHHExWBSC,Het,2,0
2,REWAxSUFW,Con,2,0
2,REWAxWBSC,Con,2,0
2,SUFWxWBSC,Het,2,0
3,CRRO,Het,1,0
3,NNHEx2,Het,1,0
3,REWAx2,Con,1,0
3,SUFWx2,Het,1,0
3,WBSCx2,Het,1,0
3,NHHExREWA,Con,1,1
3,NHHExSUFW,Het,1,0
3,NHHExWBSC,Het,1,0
3,REWAxSUFW,Con,1,0
3,REWAxWBSC,Con,1,0
3,SUFWxWBSC,Het,1,0
3,CRRO,Het,2,0
3,NNHEx2,Het,2,0
3,REWAx2,Con,2,0
3,SUFWx2,Het,2,0
3,WBSCx2,Het,2,0
3,NHHExSUFW,Het,2,0
3,NHHExWBSC,Het,2,0
3,REWAxSUFW,Con,2,0
3,REWAxWBSC,Con,2,0
3,SUFWxWBSC,Het,2,0
,,,,
,,,,
,,,,
