Grid,Stimuli,Grouping,Replicate,WBSC
1,CRRO,Het,1,0
1,NNHEx2,Het,1,1
1,REWAx2,Het,1,0
1,WBSCx2,Con,1,1
1,NHHExSUFW,Het,1,0
1,NHHExWBSC,Con,1,0
1,REWAxWBSC,Con,1,0
1,REWAx2,Het,2,0
1,WBSCx2,Con,2,0
1,NHHExREWA,Het,2,0
1,NHHExSUFW,Het,2,0
1,NHHExWBSC,Con,2,0
1,REWAxSUFW,Het,2,0
1,REWAxWBSC,Con,2,0
2,CRRO,Het,1,0
2,SUFWx2,Het,1,0
2,WBSCx2,Con,1,1
2,NHHExWBSC,Con,1,0
2,REWAxSUFW,Het,1,0
2,REWAxWBSC,Con,1,1
2,SUFWxWBSC,Con,1,0
2,CRRO,Het,2,0
2,NNHEx2,Het,2,0
2,REWAx2,Het,2,0
2,SUFWx2,Het,2,0
2,WBSCx2,Con,2,1
2,NHHExREWA,Het,2,0
2,NHHExSUFW,Het,2,1
2,NHHExWBSC,Con,2,1
2,REWAxSUFW,Het,2,0
2,REWAxWBSC,Con,2,1
2,SUFWxWBSC,Con,2,1
3,CRRO,Het,1,0
3,NNHEx2,Het,1,1
3,REWAx2,Het,1,0
3,WBSCx2,Con,1,1
3,NHHExSUFW,Het,1,1
3,NHHExWBSC,Con,1,1
3,REWAxSUFW,Het,1,1
3,REWAxWBSC,Con,1,0
3,SUFWxWBSC,Con,1,0
3,CRRO,Het,2,0
3,NNHEx2,Het,2,0
3,REWAx2,Het,2,0
3,SUFWx2,Het,2,1
3,WBSCx2,Con,2,0
3,NHHExREWA,Het,2,0
3,NHHExWBSC,Con,2,0
3,REWAxWBSC,Con,2,0
,,,,
,,,,
,,,,
,,,,
